"","status","copyright","response.docs.abstract","response.docs.web_url","response.docs.snippet","response.docs.lead_paragraph","response.docs.source","response.docs.pub_date","response.docs.document_type","response.docs.news_desk","response.docs.section_name","response.docs.subsection_name","response.docs.type_of_material","response.docs._id","response.docs.word_count","response.docs.uri","response.docs.print_section","response.docs.print_page","response.docs.headline.main","response.docs.headline.kicker","response.docs.headline.content_kicker","response.docs.headline.print_headline","response.docs.headline.name","response.docs.headline.seo","response.docs.headline.sub","response.docs.byline.original","response.docs.byline.organization","response.meta.hits","response.meta.offset","response.meta.time"
"65","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Washington has taken steps to encourage orderly migration from Central American, but it remains unwilling to update the misguided policy for Cubans.","https://www.nytimes.com/2016/08/01/opinion/a-tale-of-two-migration-flows.html","Washington has taken steps to encourage orderly migration from Central American, but it remains unwilling to update the misguided policy for Cubans.","The Obama administration last week announced a series of modest, but sensible, steps to respond more humanely to the influx of migrants from Central America.","The New York Times","2016-08-01T07:21:04+0000","article","Editorial","Opinion",NA,"Editorial","nyt://article/9df4e9ed-ef58-5eda-bc3e-c370813fd0d7",508,"nyt://article/9df4e9ed-ef58-5eda-bc3e-c370813fd0d7","A","16","A Tale of Two Migration Flows","Editorial",NA,"A Tale of Two Migration Flows",NA,NA,NA,"By The Editorial Board","The Editorial Board",266,60,34
"66","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","A disturbed young nurse becomes obsessed with a dying artist in this exceptional horror movie debut from the director Rose Glass.","https://www.nytimes.com/2021/01/28/movies/saint-maud-review.html","A disturbed young nurse becomes obsessed with a dying artist in this exceptional horror movie debut from the director Rose Glass.","Folding sexual arousal and religious ecstasy into a single, gasping sensation, “Saint Maud,” the feature debut of the director Rose Glass, burrows into the mind of a lonely young woman and finds psycho-horror gold.","The New York Times","2021-01-28T18:37:56+0000","article","Weekend","Movies",NA,"Review","nyt://article/64de112e-c640-55ad-9793-2221d93ce3f1",483,"nyt://article/64de112e-c640-55ad-9793-2221d93ce3f1","C","8","‘Saint Maud’ Review: A Passion for Sinners","Critic’s Pick",NA,"The Hedonist and the Religious Fanatic",NA,NA,NA,"By Jeannette Catsoulis",NA,266,60,34
"67","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","How President Biden’s proposed stimulus package might affect women and families.","https://www.nytimes.com/2021/02/04/parenting/biden-stimulus-working-families.html","How President Biden’s proposed stimulus package might affect women and families.","Last month, President Biden revealed an economic stimulus package that was praised — even by conservative-leaning businesses and economists — for its size and scope.","The New York Times","2021-02-04T22:11:58+0000","article","Parenting","Parenting",NA,"News","nyt://article/83878732-a4cf-5ac5-9a4a-5eb90b29d284",739,"nyt://article/83878732-a4cf-5ac5-9a4a-5eb90b29d284",NA,NA,"Will the Stimulus Plan Help Working Mothers?","The Primal Scream",NA,NA,NA,NA,NA,"By Alisha Haridasani Gupta",NA,266,60,34
"68","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Readers respond.","https://www.nytimes.com/2018/01/19/magazine/the-1-718-issue.html","Readers respond.","RE: SUBWAYS","The New York Times","2018-01-19T10:00:03+0000","article","Magazine","Magazine",NA,"News","nyt://article/3cf7fe50-0e6f-52d7-8dc4-e7cfc5d72eef",652,"nyt://article/3cf7fe50-0e6f-52d7-8dc4-e7cfc5d72eef","MM","10","The 1.7.18 Issue","The Thread",NA,NA,NA,NA,NA,NA,NA,266,60,34
"69","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The answer will depend on location, the age and health of caretakers, and everyone’s levels of acceptable risk.","https://www.nytimes.com/2020/05/04/parenting/child-care-resume-questions.html","The answer will depend on location, the age and health of caretakers, and everyone’s levels of acceptable risk.","I used to work for hours in a row without interruptions. Now, there is an astronaut-themed Lego set on my desk that seems to move a little bit each day. As I write this, my 7-year-old is sitting next to me, deconstructing pencils instead of doing his schoolwork. In listening to an interview I had recorded, I heard a young voice in the background and then heard myself say, “I’ll help you in a second. I’m still on the phone.”","The New York Times","2020-05-04T20:37:04+0000","article","Parenting","Parenting",NA,"News","nyt://article/db25ed6e-455e-5754-8215-8b1ee95e7748",1281,"nyt://article/db25ed6e-455e-5754-8215-8b1ee95e7748","D","7","When Can Child Care Resume?",NA,NA,"Day Care: Know Before You Go Back",NA,NA,NA,"By Emily Sohn",NA,266,60,34
"70","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Absolute rules about children and technology don’t help, says a child development expert.","https://www.nytimes.com/2021/07/26/technology/kids-screen-time.html","Absolute rules about children and technology don’t help, says a child development expert.","This article is part of the On Tech newsletter. You can sign up here to receive it weekdays.","The New York Times","2021-07-26T16:31:48+0000","article","Business","Technology",NA,"News","nyt://article/76a7df8a-f915-50a6-a052-44d4553bddc9",990,"nyt://article/76a7df8a-f915-50a6-a052-44d4553bddc9",NA,NA,"The Messy Truth About Kids’ Screen Time","on tech",NA,NA,NA,NA,NA,"By Shira Ovide",NA,266,60,34
"71","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The George Saunders story “Tenth of December” poses a question that absorbs many patients and caregivers: Can we save ourselves or each other from suffering?","https://www.nytimes.com/2020/12/22/well/live/winter-suicide-deliverance.html","The George Saunders story “Tenth of December” poses a question that absorbs many patients and caregivers: Can we save ourselves or each other from suffering?","When I learn, as I did a few days ago, of a cherished member of my cancer support group going into hospice, I find myself alienated from holiday cheer, as many do this year. Rather than reading a holiday story like “A Christmas Carol,” I open instead George Saunders’ short story “Tenth of December.” In it, a man who dreads end-of-life cancer connects with a boy who has been bullied in school. Through their interaction, the tale poses a question that absorbs many patients and caregivers. Can we — how can we — save ourselves or each other from suffering?","The New York Times","2020-12-22T10:00:06+0000","article","Well","Well","Live","News","nyt://article/b6739184-1f36-5484-8543-035a5817e410",1003,"nyt://article/b6739184-1f36-5484-8543-035a5817e410",NA,NA,"A Wintry Tale of Deliverance","Living With Cancer",NA,NA,NA,NA,NA,"By Susan Gubar",NA,266,70,27
"72","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Spending more time on screens, staying up late and sleeping late may require some adjustments for the start of the school year.","https://www.nytimes.com/2020/08/17/well/family/children-sleep-pandemic.html","Spending more time on screens, staying up late and sleeping late may require some adjustments for the start of the school year.","So how are you sleeping these days? Some children — and adolescents — may actually be getting more sleep, or better sleep, while others are struggling with disrupted routines, anxiety and electronics, sometimes all at the same time. And even for those who have settled into new schedules that leave them reasonably well rested, back-to-school season may mean a possibly problematic reset.","The New York Times","2020-08-17T09:00:11+0000","article","Well","Well","Family","News","nyt://article/2356e559-4544-5fc1-a3f8-63d960f5c428",1300,"nyt://article/2356e559-4544-5fc1-a3f8-63d960f5c428",NA,NA,"How Children’s Sleep Habits Have Changed in the Pandemic","The Checkup",NA,NA,NA,NA,NA,"By Perri Klass, M.D",NA,266,70,27
"73","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","While it is far preferable for retirees to remain at home as they age, the choices and costs can be daunting.","https://www.nytimes.com/2015/10/24/your-money/learning-the-unfamiliar-language-of-home-care.html","While it is far preferable for retirees to remain at home as they age, the choices and costs can be daunting.","GIVEN the tens of millions of people in retirement or about to enter it, it’s surprising how few plan for something most of them will eventually need: help doing basic tasks at home. But perhaps it is not so surprising: It’s like learning a difficult new language late in life.","The New York Times","2015-10-23T15:06:27+0000","article","Business","Your Money",NA,"News","nyt://article/6b504a80-f126-50ff-809b-501ea881ab1c",1327,"nyt://article/6b504a80-f126-50ff-809b-501ea881ab1c","B","4","Learning the Unfamiliar Language of Home Care","Retiring",NA,"The Unfamiliar Language of Home Care",NA,NA,NA,"By John F. Wasik",NA,266,70,27
"74","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","How Universal Family Care could help people throughout their lives.","https://www.nytimes.com/2019/06/23/opinion/universal-family-care-caregiving.html","How Universal Family Care could help people throughout their lives.","A vast majority of Americans cannot afford to take care of their families. But they see it as their responsibility, and too often their failure. To get by, they cobble together solutions, even quitting their jobs to look after a newborn or when a parent becomes ill. Things are getting worse as baby boomers age into their 70s. America’s piecemeal and expensive care infrastructure, created a half century ago, has reached a breaking point.","The New York Times","2019-06-23T23:00:07+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/aca331f1-d086-5a29-a376-3e6f0e32d54d",963,"nyt://article/aca331f1-d086-5a29-a376-3e6f0e32d54d","A","25","The Big, Feminist Policy Idea America’s Families Have Been Waiting For",NA,NA,"A New Deal for Caregiving",NA,NA,NA,"By Ai-jen Poo and Benjamin W. Veghte",NA,266,70,27
"75","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Being born to famous parents: is it a dream, a burden or something else?","https://learning.blogs.nytimes.com/2016/04/18/student-question-should-we-be-privy-to-the-lives-of-celebrities-children/","Being born to famous parents: is it a dream, a burden or something else?"," Blue Ivy, North West, Max Zuckerberg — the children of celebrities are often in the public eye, to the delight of their parents’ fans.","The New York Times","2016-04-18T09:02:39+0000","article","","Education",NA,"News","nyt://article/f0d50a99-843a-5ae5-845c-186bb9de22a0",594,"nyt://article/f0d50a99-843a-5ae5-845c-186bb9de22a0",NA,NA,"Student Question | Should We Be Privy to the Lives of Celebrities’ Children?","The Learning Network",NA,NA,NA,NA,NA,"By Shannon Doyne",NA,266,70,27
"76","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The shock of the pandemic threw care taking arrangements into disarray. Many families find themselves back in the same precarious arrangement they had before, with the burden still on mothers.","https://www.nytimes.com/2021/10/30/business/paid-family-leave-working-parents.html","The shock of the pandemic threw care taking arrangements into disarray. Many families find themselves back in the same precarious arrangement they had before, with the burden still on mothers.","Jennifer Simpkins had always been the primary caregiver for her young son and daughter. When they needed to be picked up from school, it was Ms. Simpkins, a preschool teacher, who would usually rush from work to get them. It typically fell to her to make them dinner, take them to gymnastics and karate and schedule their doctor’s appointments.","The New York Times","2021-10-30T09:00:33+0000","article","SundayBusiness","Business Day",NA,"News","nyt://article/8561a800-de40-5e28-94fb-2ee3d3c8a4ed",1735,"nyt://article/8561a800-de40-5e28-94fb-2ee3d3c8a4ed","BU","1","What if It Never Gets Easier to Be a Working Parent?",NA,NA,"What if It Never Gets Easier to Be a Working Parent?",NA,NA,NA,"By Sydney Ember",NA,266,70,27
"77","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Moral injury resembles post-traumatic stress disorder with an added burden of guilt, and requires different treatment.","https://well.blogs.nytimes.com/2016/06/06/war-wounds-that-time-alone-cant-heal/","Moral injury resembles post-traumatic stress disorder with an added burden of guilt, and requires different treatment.","No doubt in the course of your life, you did something, or failed to do something, that left you feeling guilty or ashamed. What if that something was in such violation of your moral compass that you felt unable to forgive yourself, undeserving of happiness, perhaps even unfit to live?","The New York Times","2016-06-06T09:30:55+0000","article","Science","Health",NA,"News","nyt://article/76ea7505-c7ad-5eb2-89a4-3e4ba275b3ff",1140,"nyt://article/76ea7505-c7ad-5eb2-89a4-3e4ba275b3ff","D","5","War Wounds That Time Alone Can’t Heal","Well",NA,"War Wounds That Time Canu2019t Heal",NA,NA,NA,"By Jane E. Brody",NA,266,70,27
"78","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Parents told us what having paid parental leave — or not — meant for their families.","https://www.nytimes.com/2021/11/24/opinion/parental-paternal-leave.html","Parents told us what having paid parental leave — or not — meant for their families.","When it came time to prepare for the birth of his second child, Jason Whitney, 34, was not willing to negotiate with his employer over time with his family. “I realized I needed to find a company with a family-first culture, which led me to finding a new job,” he wrote to us. With 12 weeks of paid time off, he could be there to help his wife through postpartum difficulties and have time to bond with their new baby, “without having to get permission, make compromises or take vacation time,” he wrote. “It’s impossible to put into words how much it meant to me as a dad.”","The New York Times","2021-11-24T18:25:58+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/20c3347e-5f28-5fd7-8926-7ade2ea9c684",2103,"nyt://article/20c3347e-5f28-5fd7-8926-7ade2ea9c684",NA,NA,"‘A Moral Imperative, an Economic Necessity’: Parents Speak Out About Paid Leave",NA,NA,NA,NA,NA,NA,"By The New York Times Opinion","The New York Times",266,70,27
"79","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The magazine’s Ethicist columnist on breaking up with someone because of their medical condition, donating money during the pandemic — and more.","https://www.nytimes.com/2020/06/09/magazine/is-it-ok-to-dump-him-because-of-his-medical-condition.html","The magazine’s Ethicist columnist on breaking up with someone because of their medical condition, donating money during the pandemic — and more.","Before the pandemic hit, I started seeing a new man; since the lockdowns, we’ve texted every day. On our first date he told me about his Crohn’s disease. He has it pretty bad — he has to follow a strict diet and goes to the doctor often. I know I’m being selfish, but is it unethical to not date him because of it? I don’t know what to do to support him, and I am worried about the future. He said it’s very likely his intestinal issues could get worse, and his life expectancy may be shorter. I want to shield myself from the pain, but I also feel like a terrible person for even thinking about it. Any advice? Name Withheld","The New York Times","2020-06-09T09:00:08+0000","article","Magazine","Magazine",NA,"News","nyt://article/a1b7e085-a39d-5497-8814-546675ce631c",1785,"nyt://article/a1b7e085-a39d-5497-8814-546675ce631c","MM","20","Is It OK to Dump Him Because of His Medical Condition?","The Ethicist ",NA,"Is It OK to Dump Someone Because of His Medical Condition?",NA,NA,NA,"By Kwame Anthony Appiah",NA,266,70,27
"80","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","2018 was a good year for books. Some of the authors we admire weigh in on their favorite reads.","https://www.nytimes.com/2018/12/28/books/review/10-best-books-authors-favorite-book.html","2018 was a good year for books. Some of the authors we admire weigh in on their favorite reads.","BEST BOOKS’ BEST READS Some years prompt a rush of nostalgia before they’ve even ended — you hope they never will. Others you can’t wait to see out the door. Wherever 2018 fell on that spectrum for you, literarily speaking it was a banner year — 12 months during which debuts by women, by first-generation Americans, by a Native American man, by a historian who had no formal schooling until college and by an Iraq-War-vet-turned-prison-inmate all found critical acclaim and enthusiastic readers alongside stellar work by established writers. The magazine EW, noting with approval that this year “both best-of and best-seller lists are rife with the experiences of America as a whole,” called 2018 “Peak Book.”","The New York Times","2018-12-28T17:55:53+0000","article","BookReview","Books","Book Review","List","nyt://article/5a0b86b7-5292-5d86-92ac-191b3349403c",616,"nyt://article/5a0b86b7-5292-5d86-92ac-191b3349403c","BR","20","What the Authors of Our 10 Best Books Read and Loved This Year","Inside the List",NA,NA,NA,NA,NA,"By Emily Eakin",NA,266,70,27
"81","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Moms are still primal screaming their hearts out.","https://www.nytimes.com/2021/03/24/parenting/moms-coronavirus-mental-health.html","Moms are still primal screaming their hearts out.","Michelle Pasos, 46, describes herself as someone who has “always been extremely healthy.” That is until the pandemic, when she ended up in the emergency room because she had a bad reaction to a drug prescribed to bring down her elevated blood pressure.","The New York Times","2021-03-24T10:30:04+0000","article","Parenting","Parenting",NA,"News","nyt://article/6bc7893c-d8ad-5a8d-8be2-8d7640bd95f8",1079,"nyt://article/6bc7893c-d8ad-5a8d-8be2-8d7640bd95f8",NA,NA,"‘I Cry on Tuesdays and Fridays’","The NYT Parenting Newsletter",NA,NA,NA,NA,NA,"By Jessica Grose",NA,266,80,31
"82","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","In her new book, the novelist and critic Lynne Tillman writes unsentimentally about the years she spent attending to her mother’s failing health.","https://www.nytimes.com/2022/08/03/books/review-mothercare-lynne-tillman.html","In her new book, the novelist and critic Lynne Tillman writes unsentimentally about the years she spent attending to her mother’s failing health.","Care work — tending to the sick, the very young or the very old — has long been denied the kind of recognition (and remuneration) that such essential labor deserves. Activists have argued that society should treat it as a social good, affording people the time and the resources to attend to loved ones as needed.","The New York Times","2022-08-03T09:00:05+0000","article","Culture","Books",NA,"Review","nyt://article/3925a287-0557-5f1a-9d2d-0906192c17f8",1046,"nyt://article/3925a287-0557-5f1a-9d2d-0906192c17f8","C","5","‘Mothercare’ Takes a Hard Look at What Happens When Duty Outlives Love",NA,NA,"When Familial Duty Outlives Love",NA,NA,NA,"By Jennifer Szalai",NA,266,80,31
"83","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Our critics and writers have selected noteworthy cultural events to experience virtually and in person in New York City.","https://www.nytimes.com/2021/11/18/arts/things-to-do-this-weekend.html","Our critics and writers have selected noteworthy cultural events to experience virtually and in person in New York City.","Like many artists, the choreographer Dwight Rhoden felt an urgent need to respond creatively to the painful summer of 2020 following the murder of George Floyd, but was deprived of his usual platform: a stage. So, earlier this year, he turned to the screen and produced a dance film that spoke to the beauty and burden of Black Americans.","The New York Times","2021-11-18T10:00:17+0000","article","Weekend","Arts",NA,"News","nyt://article/fe623f9e-8414-5a2f-b5cb-fa48ee41ba5c",867,"nyt://article/fe623f9e-8414-5a2f-b5cb-fa48ee41ba5c","C","2","5 Things to Do This Weekend","weekend roundup",NA,"Dancing Shoes Hit the Stage Again",NA,NA,NA,NA,NA,266,80,31
"84","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The premise for Chie Hayakawa’s film, “Plan 75,” is shocking: a government push to euthanize the elderly. In a rapidly aging society, some also wonder: Is the movie prescient?","https://www.nytimes.com/2022/06/17/world/asia/japan-plan75-hayakawa-chie.html","The premise for Chie Hayakawa’s film, “Plan 75,” is shocking: a government push to euthanize the elderly. In a rapidly aging society, some also wonder: Is the movie prescient?","TOKYO — The Japanese film director Chie Hayakawa was germinating the idea for a screenplay when she decided to test out her premise on elderly friends of her mother and other acquaintances. Her question: If the government sponsored a euthanasia program for people 75 and over, would you consent to it?","The New York Times","2022-06-17T09:00:24+0000","article","Foreign","World","Asia Pacific","News","nyt://article/0d2e7922-5206-53de-9d38-1e65b5f8c421",1388,"nyt://article/0d2e7922-5206-53de-9d38-1e65b5f8c421","A","4","A Filmmaker Imagines a Japan Where the Elderly Volunteer to Die","The Saturday Profile",NA,"Imagining a Japan Where Life Ends (Voluntarily) at 75",NA,NA,NA,"By Motoko Rich",NA,266,80,31
"85","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The coronavirus has highlighted how necessary good child care is.","https://www.nytimes.com/2020/05/29/opinion/childcare-coronavirus.html","The coronavirus has highlighted how necessary good child care is.","Suddenly everyone — parents, caregivers, workers, employers, policymakers — is acutely aware of child care’s relationship to American labor markets. The Los Angeles Times, HuffPost, The Washington Post, CNN.com and FoxNews.com have run variations on the headline, “You Can’t Reopen the Economy Without Child Care.”","The New York Times","2020-05-29T09:00:19+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/b1eab95f-5825-5445-bae3-38c596766fce",1168,"nyt://article/b1eab95f-5825-5445-bae3-38c596766fce",NA,NA,"How to Build a Better Child Care System",NA,NA,NA,NA,NA,NA,"By Shantel Meek and Conor P. Williams",NA,266,80,31
"86","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The decision, a test of what remains of the Voting Rights Act, suggests that challenges to many new measures making it harder to vote may not be successful.","https://www.nytimes.com/2021/07/01/us/politics/supreme-court-arizona-voting-restrictions.html","The decision, a test of what remains of the Voting Rights Act, suggests that challenges to many new measures making it harder to vote may not be successful.","WASHINGTON — The Supreme Court on Thursday gave states new latitude to impose restrictions on voting, using a ruling in a case from Arizona to signal that challenges to laws being passed by Republican legislatures that make it harder for minority groups to vote would face a hostile reception from a majority of the justices.","The New York Times","2021-07-01T14:06:19+0000","article","Washington","U.S.","Politics","News","nyt://article/b7a189d3-1426-5e60-b262-68d406e83daa",1628,"nyt://article/b7a189d3-1426-5e60-b262-68d406e83daa","A","1","Supreme Court Upholds Arizona Voting Restrictions",NA,NA,"Justices Bolster G.O.P. States’ Push for Voting Limits",NA,NA,NA,"By Adam Liptak",NA,266,80,31
"87","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Drisana Rios of San Diego said in a lawsuit that she lost her job with an insurance brokerage firm after a supervisor complained that her children were being noisy during meetings.","https://www.nytimes.com/2020/07/08/us/drisana-rios-lawsuit-hub-international.html","Drisana Rios of San Diego said in a lawsuit that she lost her job with an insurance brokerage firm after a supervisor complained that her children were being noisy during meetings.","A California woman has sued her former employer, saying that she was fired because her young children were making noise during business calls while she was working from home because of the coronavirus pandemic.","The New York Times","2020-07-08T10:00:10+0000","article","Express","U.S.",NA,"News","nyt://article/44358ca8-adf8-5e1f-85f3-64fe14669686",1025,"nyt://article/44358ca8-adf8-5e1f-85f3-64fe14669686","A","8","Woman Says She Was Fired Because Her Children Disrupted Her Work Calls",NA,NA,"Woman Says Company Objected to Children",NA,NA,NA,"By Allyson Waller",NA,266,80,31
"88","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","We can fight emotional exhaustion by decreasing demands, increasing support and enhancing control.","https://www.nytimes.com/2020/03/19/smarter-living/coronavirus-emotional-support.html","We can fight emotional exhaustion by decreasing demands, increasing support and enhancing control.","For many labs in the U.S., getting results for the coronavirus test can take between two and seven days. But last week, the Cleveland Clinic introduced a test that offers results in just eight hours. They didn’t stop there: For social distance and convenience, they’re offering a drive-through option.","The New York Times","2020-03-20T02:00:03+0000","article","Smarter Living","Smarter Living",NA,"News","nyt://article/92fd412e-5750-561f-8a76-9708cfd6635e",1002,"nyt://article/92fd412e-5750-561f-8a76-9708cfd6635e","B","7","Burnout Isn’t Just in Your Head. It’s in Your Circumstances.",NA,NA,"Addressing Emotional Exhaustion Can Help Prevent Burnout",NA,NA,NA,"By Adam Grant",NA,266,80,31
"89","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","The loss of 98 lives there is nothing short of a tragedy.","https://www.nytimes.com/2020/05/25/opinion/nursing-home-coronavirus.html","The loss of 98 lives there is nothing short of a tragedy.","For the last three and a half years, my husband has lived at the Isabella Geriatric Center, a two-tower high-rise nursing home in the heart of Washington Heights. In a period of six weeks, as many as 98 people living there died from Covid-19.","The New York Times","2020-05-25T09:00:09+0000","article","OpEd","Opinion",NA,"Op-Ed","nyt://article/2059f50f-e212-5aff-a9ac-6466ff08390b",970,"nyt://article/2059f50f-e212-5aff-a9ac-6466ff08390b",NA,NA,"The Crisis at My Husband’s Nursing Home",NA,NA,NA,NA,NA,NA,"By Marcella Goheen",NA,266,80,31
"90","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Paul Tough believes character is the key to success.","https://www.nytimes.com/2016/06/12/books/review/helping-children-succeed-by-paul-tough.html","Paul Tough believes character is the key to success.","HELPING CHILDREN SUCCEEDWhat Works and WhyBy Paul Tough125 pp. Houghton Mifflin Harcourt. $18.99.","The New York Times","2016-06-10T14:53:48+0000","article","BookReview","Books","Book Review","Review","nyt://article/1933e899-0516-5d66-b35c-e02858ead9a6",694,"nyt://article/1933e899-0516-5d66-b35c-e02858ead9a6","BR","14","October’s Book Club Pick: ‘Helping Children Succeed,’ by Paul Tough","Nonfiction",NA,"True Grit",NA,NA,NA,"By Kevin Carey",NA,266,80,31
"91","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","While state legislatures consider new voting restrictions to address claims of election fraud, the justices will hear arguments on what kind of legal scrutiny such laws should face.","https://www.nytimes.com/2021/02/28/us/politics/supreme-court-voting-rights-act.html","While state legislatures consider new voting restrictions to address claims of election fraud, the justices will hear arguments on what kind of legal scrutiny such laws should face.","WASHINGTON — As Republican state lawmakers around the nation are working furiously to enact laws making it harder to vote, the Supreme Court on Tuesday will hear its most important election case in almost a decade, one that will determine what sort of judicial scrutiny those restrictions will face.","The New York Times","2021-02-28T17:24:09+0000","article","Washington","U.S.","Politics","News","nyt://article/99d2d4e4-f239-5145-bc2d-592f184251a1",1228,"nyt://article/99d2d4e4-f239-5145-bc2d-592f184251a1","A","13","A Supreme Court Test for What’s Left of the Voting Rights Act",NA,NA,"Supreme Court Test For Crucial Provision Of Voting Rights Act",NA,NA,NA,"By Adam Liptak",NA,266,90,26
"92","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Thursday: The 12th president of U.S.C. talks about her plans; lawmakers hope to give family caregivers a break; and putting Mike Trout’s contract in context","https://www.nytimes.com/2019/03/21/us/university-of-southern-california-president-carol-folt.html","Thursday: The 12th president of U.S.C. talks about her plans; lawmakers hope to give family caregivers a break; and putting Mike Trout’s contract in context","Good morning.","The New York Times","2019-03-21T13:20:33+0000","article","National","U.S.",NA,"briefing","nyt://article/aaa5cf54-26b6-53bc-96b7-20031e8154eb",1256,"nyt://article/aaa5cf54-26b6-53bc-96b7-20031e8154eb",NA,NA,"‘We Have to Get this Right.’ A Conversation With U.S.C.’s Incoming President, Carol Folt.","California Today",NA,NA,NA,NA,NA,"By Jill Cowan",NA,266,90,26
"93","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","Why would an 82-year-old man kill his son, his daughter, his wife and himself?","https://www.nytimes.com/2015/12/06/magazine/four-bodies-in-elmhurst.html","Why would an 82-year-old man kill his son, his daughter, his wife and himself?","On the Saturday morning of Labor Day weekend in 2014, an 82-year-old man named Frank Stack hobbled out of his house in Elmhurst, Ill., a quiet suburb of Chicago, and drove 15 minutes northwest to the group home where his 48-year-old son, Francis, lived with five other men with developmental disabilities. David Clark, the supervisor on duty, knew the whole family well and was friendly with Stack. ‘‘You’re here on Saturday,’’ Clark said, surprised. Stack normally took his son home for dinner on Sundays. ‘‘Mom wants to see Slugger,’’ Stack said. It was a holiday weekend, so a change in plans was no big deal. Stack promised to have his son back by 5.","The New York Times","2015-12-02T12:00:10+0000","article","Magazine","Magazine",NA,"News","nyt://article/e1072c79-5baa-5037-80b2-6d6998874d5c",4603,"nyt://article/e1072c79-5baa-5037-80b2-6d6998874d5c","MM","65","Four Bodies in Elmhurst","Feature",NA,"Four Bodies in Elmhurst",NA,NA,NA,"By Jeff Himmelman",NA,266,90,26
"94","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","In her new book, “Screaming on the Inside,” Jessica Grose unpacks the heavy burdens that arrive with the birth of a child.","https://www.nytimes.com/2022/12/06/books/review/screaming-on-the-inside-jessica-grose.html","In her new book, “Screaming on the Inside,” Jessica Grose unpacks the heavy burdens that arrive with the birth of a child.","A funny thing happens when you write an honest book about motherhood. Whenever I go to a place where there are other mothers who know about my work, someone, usually a woman in her late 30s with small children, heavy eyelids and a telltale tightness in her jaw, asks if she can talk to me in private.","The New York Times","2022-12-06T10:00:13+0000","article","BookReview","Books","Book Review","Review","nyt://article/e8d778c7-98c5-5579-b2be-e473a3d5b832",1307,"nyt://article/e8d778c7-98c5-5579-b2be-e473a3d5b832","BR","14","The Common Denominator for Mothers? Guilt.","Nonfiction",NA,"Mother Load",NA,NA,NA,"By Kim Brooks",NA,266,90,26
"95","OK","Copyright (c) 2023 The New York Times Company. All Rights Reserved.","During the pandemic, teenage girls took on more caregiving at home, extra shifts at work and the burden of organizing racial justice protests. In many instances, it upended their lives.","https://www.nytimes.com/2021/09/25/us/young-girls-caregiving-covid.html","During the pandemic, teenage girls took on more caregiving at home, extra shifts at work and the burden of organizing racial justice protests. In many instances, it upended their lives.","— A poem by Azariah Baker, a high school student in Chicago","The New York Times","2021-09-25T18:58:22+0000","article","Gender","U.S.",NA,"News","nyt://article/5bf667e3-c059-5a7c-88f6-e3bc331f9b4e",1982,"nyt://article/5bf667e3-c059-5a7c-88f6-e3bc331f9b4e",NA,NA,"‘No Time to Be a Child’","in her words",NA,NA,NA,NA,NA,"By Alisha Haridasani Gupta",NA,266,90,26
