"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub"
"Beaulah Smith, who cared for her dying husband while battling ovarian cancer, depleted her savings trying to pay expenses and soon fell behind on rent.","Beaulah Smith, who cared for her dying husband while battling ovarian cancer, depleted her savings trying to pay expenses and soon fell behind on rent.","On Jan. 13, Beaulah Smith was seated beside her husband, Isaac, as he lay in a hospital bed listening to a team of doctors explain the grim state of his health. Ms. Smith, 63, knew that her husband was weak after having several strokes, and she suspected that the pain he was experiencing might be the result of an ulcer. But as she sat beside her husband of 40 years, she was totally unprepared for the words she would hear. ","The New York Times","2012-11-25T02:34:23+0000","article","New York","News","nyt://article/b1ad37c9-02f6-54d7-a11f-f5124e9fed1c",NA,"After Husband’s Sudden Death, Widow Seeks New Home and Job","The Neediest Cases",NA,"A Widow Struggles To Pick Up the Pieces",NA,NA,NA
"Remember to draw boundaries early and often — and always invoice for the forced “fun” of team-building activities.","Remember to draw boundaries early and often — and always invoice for the forced “fun” of team-building activities.","Send questions about the office, money, careers and work-life balance to workfriend@nytimes.com. Include your name and location, or a request to remain anonymous. Letters may be edited.","The New York Times","2021-07-30T15:38:09+0000","article","Business Day","News","nyt://article/b079ed6f-2188-5174-95a4-6ee4bee43d7b",NA,"It’s OK to Say No to More Work","work Friend",NA,"Say No to Mandatory Fun, or Bill for It",NA,NA,NA
"Tonya Hicks, an electrician, overcame discrimination and sexual harassment. She now runs her own growing business.","Tonya Hicks, an electrician, overcame discrimination and sexual harassment. She now runs her own growing business.","This article is part of our Women and Leadership special section, which focuses on women challenging traditional ways of thinking.","International New York Times","2020-03-05T10:00:24+0000","article","Business Day","News","nyt://article/10415aa9-e8e1-5526-918a-12fa244fff3b",NA,"In a Field Dominated by Men, She’s in Charge",NA,NA,"Where men dominate, she’s in charge",NA,NA,NA
"A platonic connection with her doorman inspired Julie Margaret Hogben’s 2015 essay about navigating the rough seas of dating and motherhood. So how are she, her daughter and Guzim doing now?","A platonic connection with her doorman inspired Julie Margaret Hogben’s 2015 essay about navigating the rough seas of dating and motherhood. So how are she, her daughter and Guzim doing now?","In her 2015 Modern Love essay “When the Doorman Is Your Main Man,” the writer Julie Margaret Hogben tells of a time in her life when she was dating in New York City and living in a building where the doorman, Guzim, felt obliged to protect her from men he deemed unsuitable. When an unexpected pregnancy sent her into crisis mode, Guzim became a close friend and confidant.","The New York Times","2019-10-18T04:00:02+0000","article","Style","News","nyt://article/bf452a58-6aba-5759-84f1-18ba5139e48a",NA,"To Her, He Was More Than a Doorman","MODERN LOVE",NA,"To Her, He Was More Than a Doorman",NA,NA,NA
"A crop of new studies suggests that herd immunity is still very far away.","A crop of new studies suggests that herd immunity is still very far away.","The coronavirus pandemic has shown clearly what happens when a new pathogen gets loose in a population where no one has had it before: It spreads like wildfire.","The New York Times","2020-05-29T00:36:42+0000","article","U.S.","briefing","nyt://article/e5c3dd7e-f600-5cc6-b830-9a37c17de963",NA,"Coronavirus Briefing: What Happened Today",NA,NA,NA,NA,NA,NA
"A video shows the boy in severe distress. He was discovered by his cellmate, not immigration officials, as they originally claimed.","A video shows the boy in severe distress. He was discovered by his cellmate, not immigration officials, as they originally claimed.","Carlos Gregorio Hernandez Vasquez collapsed onto the concrete floor of his Border Patrol holding cell early one morning in May. He lay still, next to a toilet in his sweatshirt and jeans for four hours before his cellmate woke up and found him dead.","The New York Times","2019-12-06T00:50:45+0000","article","U.S.","News","nyt://article/7016d260-2762-57ff-a12d-c57dd5d190ee",NA,"Migrant Teen Lay for Hours in His Cell Before He Was Found Dead",NA,NA,"Video Shows Last Hours of Migrant’s Life in Detention",NA,NA,NA
"Legislation would favor immigrants based on skills and education, while curtailing those brought into the country through family ties.","Legislation would favor immigrants based on skills and education, while curtailing those brought into the country through family ties.","WASHINGTON — President Trump embraced a proposal on Wednesday to slash legal immigration to the United States in half within a decade by sharply curtailing the ability of American citizens and legal residents to bring family members into the country.","The New York Times","2017-08-02T17:23:00+0000","article","U.S.","News","nyt://article/208505c0-9f37-5101-bd96-b259e3716eca","Politics","Trump Supports Plan to Cut Legal Immigration by Half",NA,NA,"President Backs A Plan to Curtail Legal Migration",NA,NA,NA
"The stay-at-home father and part-time artist is no longer quite as rare a sighting.","The stay-at-home father and part-time artist is no longer quite as rare a sighting.","In 1988, Ben Fountain, then a 30-year-old lawyer in North Dallas, decided to quit his practice to stay at home with his child and learn how to write fiction. His wife, also a lawyer, made enough money to support the family and hire a nanny. Mr. Fountain used the six hours a day she was on call to write before picking up the caregiving slack and household maintenance in the afternoon.","The New York Times","2015-06-05T21:47:00+0000","article","Fashion & Style","News","nyt://article/75c62f25-8b52-5c7a-86b5-8c959fbbb234",NA,"These Dads Are Writing Their Own Tickets","Future Tense",NA,"Writing His Own Ticket",NA,NA,NA
"The government has repeatedly singled out the city’s poor migrant workers as “high risk” for the coronavirus, though actual infection rates are low.","The government has repeatedly singled out the city’s poor migrant workers as “high risk” for the coronavirus, though actual infection rates are low.","HONG KONG — The noodle shop was doing a brisk Friday evening business, with diners crowded at shared tables. Eni Lestari, a migrant domestic worker in Hong Kong, spotted a seat near another woman and hurried to claim it.","The New York Times","2021-05-18T09:37:15+0000","article","World","News","nyt://article/d4b45a3d-9df6-5e0f-8041-9e0429efc3d6","Asia Pacific","For Hong Kong’s Domestic Workers During Covid, Discrimination Is Its Own Epidemic",NA,NA,"For Hong Kong ‘Helpers,’ Discrimination Is Rampant",NA,NA,NA
"Readers share tips for avoiding the pitfalls of gender stereotypes in relationships.","Readers share tips for avoiding the pitfalls of gender stereotypes in relationships.","“There are powerful historical reasons heterosexual marriages are subject to more tension, miscommunication and resentment than same-sex relationships,” Stephanie Coontz writes in the Op-Ed “How to Make Your Marriage Gayer.” There she explores the findings of a study showing that marriages between gay men appear to be the most equitable, and therefore the happiest, while heterosexual women, who are more often expected to fill stereotypical gender roles, seem to be the least satisfied.","The New York Times","2020-02-15T00:01:06+0000","article","Opinion","Op-Ed","nyt://article/363f247c-739b-555d-9669-c81d9d68da1d",NA,"In Marriage, It’s Not About the Dishes. It’s About Respect.",NA,NA,NA,NA,NA,NA
"What parents want for their sons versus their daughters can set up dangerous dynamics in the future.","What parents want for their sons versus their daughters can set up dangerous dynamics in the future.","At a backyard barbecue when I was about 10, my little sister and I overheard my dad talking to another father. “You know, I think if they were boys, I would probably let them play a little farther down the street,” my feminist-minded dad said, in a moment of father-bonding frankness. My sister and I were incensed, and when we got home, we let him have it — how dare he suggest he would treat us differently if we were boys?","The New York Times","2017-11-24T10:45:21+0000","article","Opinion","Op-Ed","nyt://article/89e5af17-43c9-5304-93fe-a38fee0450bd","Sunday Review","The Bad News on ‘Good’ Girls","Contributing Op-Ed Writer",NA,"The Bad News on ‘Good’ Girls",NA,NA,NA
"Great shows used to be about fallen masculinity. Now they’re about collaboration and resilience. What changed?","Great shows used to be about fallen masculinity. Now they’re about collaboration and resilience. What changed?","There is a moment in HBO’s “Doll & Em” when Em, a movie star, leaves her trailer to rehearse her lines alone. Doll, Em’s childhood best friend and now her assistant, stays behind. In an echo of “All About Eve,” Doll picks up her friend’s script and starts reading aloud. “ 'Why didn’t you call me?’ ‘I didn’t think it was my place,' ” she says, intoning both parts and knowing she’s overstepping. The script is terrible. It’s derivative. But it’s a transgressive moment for Doll and a distillation of her complicated envy toward Em. The sharp parody happening in that scene — of great films, of female friendship, of Hollywood’s idea of better roles for women — coexists with an air of unstudied sincerity that’s in fact subversive. It’s a mood typical of the show and bespeaks a broader sophistication that has finally found its way onto the small screen, over a decade into what we’ve so often heard is a TV renaissance.","The New York Times","2015-01-16T15:25:22+0000","article","Magazine","News","nyt://article/0cdfce2f-8e7a-5d68-a9ae-3a80d8fb9d16",NA,"TV’s New Girls’ Club","Riff",NA,"Girls’ Club",NA,NA,NA
"Yearlong waiting lists, babysitters nowhere to be found, and families feeling the strain.","Yearlong waiting lists, babysitters nowhere to be found, and families feeling the strain.","Katy Stenta, the pastor of a small church in Albany, N.Y., and the mother of three boys, has experienced pandemic-related child-care shortages from all sides. She helps run a nursery school out of her Presbyterian church, and the newest aide they hired keeps missing work because her child has asthma. Ms. Stenta, 38, has been filling in for her.","The New York Times","2021-10-06T09:00:16+0000","article","Parenting","News","nyt://article/cdd6b3c5-4ad5-5c9a-84df-6d31e36aacea",NA,"Moms Are Back to Work, But Child Care Resources Are ‘Laughable’","The NYT Parenting Newsletter",NA,NA,NA,NA,NA
"As the agency considers paying for outpatient procedures, some predict better care and savings while others see a potential for post-operation complications.","As the agency considers paying for outpatient procedures, some predict better care and savings while others see a potential for post-operation complications.","Five years ago, Dr. Ira Kirschenbaum, an orthopedic surgeon in the Bronx who replaces more than 200 knees each year, would have considered it crazy to send a patient home the same day as a knee replacement operation.","The New York Times","2016-12-21T01:34:50+0000","article","Business Day","News","nyt://article/84ed4be3-48b9-546e-a41c-08b9ba9d9a71",NA,"Should Medicare Allow Outpatient Knee Replacement? Doctors Are Deeply Split",NA,NA,"Paying for Knees",NA,NA,NA
"With listings appearing and disappearing overnight, buyers are turning to alternate sources to snag a home before it ever lands on the market.","With listings appearing and disappearing overnight, buyers are turning to alternate sources to snag a home before it ever lands on the market.","In the spring of 2020, as people around the globe gave up the usual vices for the observance of Lent — sweets, alcohol, social media — Eric Atcheson gave up Zillow.","The New York Times","2021-08-17T10:00:07+0000","article","Real Estate","News","nyt://article/5e5d2eda-e692-565e-af07-43ac0813a4f4",NA,"The Secret to Finding That Off-Market Deal: ‘Be Prepared to Battle’",NA,NA,NA,NA,NA,NA
"Rendez-Vous With French Cinema may lack a certifiable masterpiece, but it offers a fair number of B-plus or better adult features, and no real duds.","Rendez-Vous With French Cinema may lack a certifiable masterpiece, but it offers a fair number of B-plus or better adult features, and no real duds.","Not until he is kidnapped while on his way to work, held for ransom with a 50 million euro asking price and a severed finger is delivered to his family, do the sins of the spoiled corporate honcho in the French abduction thriller “Rapt” come to light. Inspired by a real-life 1978 kidnapping and updated to the present, “Rapt” is the most compelling film in this year’s Rendez-Vous With French Cinema series.","The New York Times","2010-03-10T22:40:21+0000","article","Movies","News","nyt://article/9c98f71f-6f80-54fe-ac8e-8dbdbb179d9a",NA,"How Gallic Can a Film Festival Get Year After Year? Plenty, It Seems","Film",NA,"How Gallic Can a Film Festival Get Year After Year? Plenty, It Seems",NA,NA,NA
"There’s more to love, with reservations, in the Houston museum’s Drawing Institute and its extraordinary inaugural show of Jasper Johns works.","There’s more to love, with reservations, in the Houston museum’s Drawing Institute and its extraordinary inaugural show of Jasper Johns works.","HOUSTON — Talk with any bunch of art professionals about recently built museums and you’re likely to hear kvetch, kvetch, kvetch followed by an admiring reference to the Menil Collection. The Menil is widely regarded as the gold standard in institutional concept and design. And admiration for it tends to shade into devotion. Its 30-acre campus of low-slung buildings in a leafy park in this city has become as much pilgrimage site as cultural destination. Now, with the addition of a building for the Menil Drawing Institute, there’s more perfection than ever to love.","The New York Times","2018-11-29T20:43:59+0000","article","Arts","News","nyt://article/188b396b-270b-524f-99b7-7e4a9d5b1b4a","Art & Design","Menil’s New Drawing Institute: A Full-Service Home for Fragile Art","Critic’s Notebook",NA,"Drawn To Perfection",NA,NA,NA
"When a loved one in another state is ill, virtually attending appointments is only part of the solution.","When a loved one in another state is ill, virtually attending appointments is only part of the solution.","A few months ago, my biggest sources of anxiety were politics, my finances, and whether I’d make my next work deadline. Then one afternoon my mother called to tell me she had leukemia.","The New York Times","2018-09-04T09:00:06+0000","article","Well","News","nyt://article/990292da-1165-5edd-bf43-bbf236fc8a6a","Live","Strategies for Long-Distance Caregiving",NA,NA,NA,NA,NA,NA
"When a loved one in another state is ill, virtually attending appointments is only part of the solution.","When a loved one in another state is ill, virtually attending appointments is only part of the solution.","A few months ago, my biggest sources of anxiety were politics, my finances, and whether I’d make my next work deadline. Then one afternoon my mother called to tell me she had leukemia.","The New York Times","2018-09-04T09:00:06+0000","article","Well","News","nyt://article/990292da-1165-5edd-bf43-bbf236fc8a6a","Live","Strategies for Long-Distance Caregiving",NA,NA,NA,NA,NA,NA
"Five standout Taylor dancers talk about their careers in the company and working for a modern master who is still making dances at 87.","Five standout Taylor dancers talk about their careers in the company and working for a modern master who is still making dances at 87.","Being a member of the Paul Taylor Dance Company is a binding kind of love. It’s a communal enterprise in which working together brings Mr. Taylor’s dances to life. But individuality is important. What happens when a dancer — and no two are alike — is united with Mr. Taylor’s choreography?","The New York Times","2018-03-08T16:25:54+0000","article","Arts","News","nyt://article/486b6235-4187-5067-ba3a-b7bacbdd8b26","Dance","Get to Know the Colors on Paul Taylor’s Palette",NA,NA,"Coloring Paul Taylor’s Stage",NA,NA,NA
"Mr. Garfield has generated attention in the current awards season for his portrayals of men of faith in “Hacksaw Ridge” and “Silence.”","Mr. Garfield has generated attention in the current awards season for his portrayals of men of faith in “Hacksaw Ridge” and “Silence.”","LOS ANGELES — To understand how Andrew Garfield successfully made the leap from Spider-Man to holy man, it’s helpful to know that when he was 8, his hero was Mahatma Gandhi. And that one of his life goals at the time was to seek out the schoolyard bully and envelop him in a warm embrace.","The New York Times","2017-01-06T15:00:50+0000","article","Movies","News","nyt://article/3a979b7c-4ca0-5d76-96bb-11c66f628d56",NA,"Andrew Garfield, Spiritual Ghost in the Hollywood Machine",NA,NA,"The Spiritual Ghost in the Machine",NA,NA,NA
"Will the victory at the Supreme Court blind us to our history of life in the margins?","Will the victory at the Supreme Court blind us to our history of life in the margins?","The Supreme Court’s decision affirming the right to same-sex marriage across the United States is a joyous moment for lesbian, gay, bisexual and transgender Americans. Recognition of our equal dignity, and of our right to the same legal protections straight couples enjoy, is a civil rights milestone. But it could also be the swan song for the movement for gay freedom that began after World War II.","The New York Times","2015-06-26T16:15:05+0000","article","Opinion","Op-Ed","nyt://article/3759a40f-44f5-5ee0-9d0b-ab64eb6ba822","Sunday Review","The Price of Gay Marriage","Opinion",NA,"The Price of Gay Marriage",NA,NA,NA
"TV series like “Cougar Town,” “Community,” “The Walking Dead,” “Smash” and “Up All Night”are undergoing shifts with new show runners.","TV series like “Cougar Town,” “Community,” “The Walking Dead,” “Smash” and “Up All Night”are undergoing shifts with new show runners.","CULVER CITY, Calif.","The New York Times","2013-01-11T22:37:46+0000","article","Arts","News","nyt://article/13a58d0d-cc8e-5983-a87a-552bff9b1626","Television","Shows Go On, Under New Proprietors","Television",NA,"Shows Go On, Under New Proprietors",NA,NA,NA
"David Guarascio and Moses Port talk about their hopes and apprehensions for NBC’s “Community” as they take over from the series creator, Dan Harmon, who was forced out in May.","David Guarascio and Moses Port talk about their hopes and apprehensions for NBC’s “Community” as they take over from the series creator, Dan Harmon, who was forced out in May.","LOS ANGELES — Depending on your perspective, David Guarascio and Moses Port may have the best job in television or the worst. In May these two longtime comedy-writing collaborators, who have previously worked on  “Mad About You,” “Just Shoot Me” and “Happy Endings,” were named the new show runners of “Community,” NBC’s passionately adored — if not widely watched — comedy about a study group of misfit students.","The New York Times","2012-10-09T12:00:37+0000","article","Arts","News","nyt://article/6fd6007a-3ef5-5f37-a4c7-7a3b08781277",NA,"Remedial Chaos Theory: Meet the New Show Runners of ‘Community’","ArtsBeat",NA,"Two Guys Walk Into a Show To Keep the Jokes Coming",NA,NA,NA
"Eating had become a chore for my parents, but I was determined to make a feast. I had never given much thought to Dad’s penknife until that meal.","Eating had become a chore for my parents, but I was determined to make a feast. I had never given much thought to Dad’s penknife until that meal.","An engineer should always carry a penknife in his pocket, my father said. Not the marvel of a Swiss Army knife; just a small, two-blade tool for whatever might come along.","The New York Times","2021-11-25T06:00:04+0000","article","Opinion","Op-Ed","nyt://article/be36e709-0519-588e-a8d7-595fb17342a2",NA,"The Penknife: A Thanksgiving Memory",NA,NA,"The Penknife: A Thanksgiving Memory",NA,NA,NA
"Millions have left the labor force in the last year, many home with children or health concerns. The statistics may not reflect their aspirations.","Millions have left the labor force in the last year, many home with children or health concerns. The statistics may not reflect their aspirations.","Robert Hesse was expecting an imminent promotion to manager of Sub Zero Ice Cream, a nitrogen ice cream shop in Ventura, Calif., when it shut down in March because of the pandemic.","The New York Times","2021-03-15T09:00:11+0000","article","Business Day","News","nyt://article/f9f01634-7bc8-5a33-b534-6c91fb022e9e","Economy","Uncounted in the Unemployment Rate, but They Want to Work",NA,NA,"Uncounted Among the Unemployed  Are Dropouts Eager to Return to Work",NA,NA,NA
"A child’s expression of admiration for her mother is food for thought.","A child’s expression of admiration for her mother is food for thought.","On Mother’s Day last spring, my 10-year-old daughter listed some things she loves about having me as her mother. The first two surprised me: “You make my lunch most days,” she began, “and you make dinner.” Other observations followed, including that I am “huggy” and “smart.” But first came the kitchen.","The New York Times","2013-10-03T22:52:13+0000","article","Fashion & Style","News","nyt://article/8506a0c7-b59a-50ef-9b35-e51b94de18e9",NA,"A Feminist’s Daughter Finds Love in the Kitchen",NA,NA,"A Feminist’s Daughter Finds Love in the Kitchen",NA,NA,NA
"The Rumble Ponies, a minor-league team in Binghamton, N. Y., employs hundreds of people in the spring and summer. Then came the coronavirus.","The Rumble Ponies, a minor-league team in Binghamton, N. Y., employs hundreds of people in the spring and summer. Then came the coronavirus.","Mike Vavalle, 37, likes to joke that being the clubhouse manager for the Binghamton Rumble Ponies, a Class AA affiliate of the Mets in Binghamton, N.Y., is really just “glorified babysitting.” In the spring and summer, he keeps the NYSEG Stadium clubhouse clean and outfitted with meals and snacks. He washes players’ uniforms. He even runs errands for Rumble Ponies players, who are often at the stadium from midmorning until late at night and don’t have time to, say, drop off a rent check.","The New York Times","2020-06-06T15:00:24+0000","article","Opinion","Op-Ed","nyt://article/c2e455d4-1305-5a36-a168-54d92d0fd896",NA,"What Life Without Baseball Looks Like",NA,NA,"Life Without Baseball",NA,NA,NA
"Female artists will be the focus of many important solo shows, including Mierle Laderman Ukeles, Carmen Herrera, Yayoi Kusama and Pipilotti Rist.","Female artists will be the focus of many important solo shows, including Mierle Laderman Ukeles, Carmen Herrera, Yayoi Kusama and Pipilotti Rist.","(Asterisks indicate the critic’s Top 10 shows this season.)","The New York Times","2016-09-16T16:32:33+0000","article","Arts","News","nyt://article/1d9f53e2-8769-5255-b67b-f7db82e48b82","Art & Design","In Art This Fall, Women Win in a Landslide",NA,NA,"In Art This Fall, It’s Women in a Landslide",NA,NA,NA
"A ghastly tie connects a biographer and her celebrity subject.","A ghastly tie connects a biographer and her celebrity subject.","Patricia Bosworth is the author of “Jane Fonda: The Private Life of a Public Woman.” ","The New York Times","2011-09-24T22:34:54+0000","article","Opinion","Op-Ed","nyt://article/cdff0aee-b804-5123-b705-a335c701eb6b","Sunday Review","Connected, Darkly, to Jane Fonda","Opinion",NA,"Connected, Darkly, to Jane Fonda",NA,NA,NA
"The requirements of the theater, and the constant physical and emotional risks facing performers, have many demanding their basic needs as humans.","The requirements of the theater, and the constant physical and emotional risks facing performers, have many demanding their basic needs as humans.","To hear more audio stories from publications like The New York Times, download Audm for iPhone or Android.","The New York Times","2022-08-03T13:00:19+0000","article","Theater","News","nyt://article/1987bccf-6ef2-59ee-91fd-149a675ca55b",NA,"Shutting the Door on the Hard-Knock Life","The Reformation",NA,"Shutting the Door On a Hard-Knock Life",NA,NA,NA
"It’s not the back-to-school season the country was hoping for.","It’s not the back-to-school season the country was hoping for.","This article is part of the Debatable newsletter. You can sign up here to receive it on Tuesdays and Thursdays.","The New York Times","2021-08-05T22:00:04+0000","article","Opinion","Op-Ed","nyt://article/ee0c56ff-99d8-58fa-8dbf-553c20da48cc",NA,"Will the Delta Variant Upend Another School Year?","Spencer Bokat-Lindell",NA,NA,NA,NA,NA
"The mere presence of female family members — even infants — can be enough to nudge men toward being generous, studies show.","The mere presence of female family members — even infants — can be enough to nudge men toward being generous, studies show.","WHAT makes some men miserly and others generous? What motivated Bill Gates, for example, to make more than $28 billion in philanthropic gifts while many of his billionaire peers kept relatively tightfisted control over their personal fortunes? ","The New York Times","2013-07-20T18:30:08+0000","article","Opinion","Op-Ed","nyt://article/ada8cb49-b602-5062-87f4-4a5dc9eaa337","Sunday Review","Why Men Need Women","Opinion",NA,"Why Men Need Women",NA,NA,NA
"Joseph Schneier had spent the last year transitioning when he met Allie Brashears. More challenges (and a pandemic) came after their 2018 wedding, but so did an outdoor fire pit.","Joseph Schneier had spent the last year transitioning when he met Allie Brashears. More challenges (and a pandemic) came after their 2018 wedding, but so did an outdoor fire pit.","When Joseph Schneier posted his profile on the dating app OkCupid in 2016, he didn’t think anyone would respond.","The New York Times","2021-09-21T15:50:42+0000","article","Style","News","nyt://article/8a9912ff-b4f8-5658-892d-053bc7b3e532",NA,"With Each Change, Their Love Continued to Grow","state of the unions",NA,NA,NA,NA,NA
"Payroll records for more than 14,000 facilities show that the number of nurses and aides at work dips far below average some days and consistently sinks on weekends.","Payroll records for more than 14,000 facilities show that the number of nurses and aides at work dips far below average some days and consistently sinks on weekends.","ITHACA, N.Y. — Most nursing homes had fewer nurses and caretaking staff than they had reported to the government for years, according to new federal data, bolstering the long-held suspicions of many families that staffing levels were often inadequate.","The New York Times","2018-07-07T13:17:06+0000","article","Health","News","nyt://article/b9daf152-be84-5468-92a7-e0c38354be31",NA,"‘It’s Almost Like a Ghost Town.’ Most Nursing Homes Overstated Staffing for Years",NA,NA,"Nursing Homes Routinely Mask Low Staff Levels",NA,NA,NA
"Caleb Crain’s “Overthrow” and Yoko Ogawa’s “The Memory Police” tell of not-too-distant futures in which our entire lives are monitored.","Caleb Crain’s “Overthrow” and Yoko Ogawa’s “The Memory Police” tell of not-too-distant futures in which our entire lives are monitored.","OVERTHROW By Caleb Crain","The New York Times","2019-08-15T09:00:08+0000","article","Books","Review","nyt://article/5999bbdd-4f72-5edc-b965-cd94f54335c5","Book Review","‘Read Receipts’ On: Two Dystopian Novels Predict the Surveillance State","Fiction",NA,"We’re Being Watched",NA,NA,NA
"Giraffes may be popular — a staple of zoos, corporate logos and the plush toy industry — but until recently almost nobody studied giraffes in the field so there is much we don’t know about them.","Giraffes may be popular — a staple of zoos, corporate logos and the plush toy industry — but until recently almost nobody studied giraffes in the field so there is much we don’t know about them.","OKAVANGO DELTA, BOTSWANA — For the tallest animals on earth, giraffes can be awfully easy to overlook. Their ochered flagstone fur and arboreal proportions blend in seamlessly with the acacia trees on which they tirelessly forage, and they’re as quiet as trees, too: no whinnies, growls, trumpets or howls. “Giraffes are basically mute,” said Kerryn Carter, a zoologist at the University of Queensland in Australia. “A snort is the only sound I’ve heard.”","The New York Times","2014-10-05T17:58:06+0000","article","Science","News","nyt://article/02b665fd-7041-5483-952a-4fae5dbd4559",NA,"Our Understanding of Giraffes Does Not Measure Up ",NA,NA,"Tall, Silent and Misunderstood",NA,NA,NA
"Ms. Stritch, who made a dramatic exit from her home at the Carlyle Hotel this spring, is settling into her new life in Birmingham, Mich., cosmos and all.","Ms. Stritch, who made a dramatic exit from her home at the Carlyle Hotel this spring, is settling into her new life in Birmingham, Mich., cosmos and all.","BIRMINGHAM, Mich. — Even at 88, and in what might be called spectacularly frail health, Elaine Stritch can still make a theatrical entrance.","The New York Times","2013-09-20T17:23:43+0000","article","Theater","News","nyt://article/e0fec05d-2f54-54d9-9f80-a0c0b15e9407",NA,"As Fierce as She Is Fragile: Elaine Stritch in Michigan",NA,NA,"Elaine Stritch, as Fierce as She Is Fragile",NA,NA,NA
"Parents go in and out of the work force depending on their caretaking needs.","Parents go in and out of the work force depending on their caretaking needs.","This story was originally published on June 11, 2019 in NYT Parenting.","The New York Times","2020-04-17T15:02:14+0000","article","Parenting","News","nyt://article/bd4efa00-1e53-51b9-a1bb-985afe3b8037",NA,"Your Career Post-Kids: Ambivalence, Joy, Pumping in Closets",NA,NA,NA,NA,NA,NA
"Lauren Groff, author most recently of the story collection “Florida,” sees Mr. Rochester as a villain: “He’s a sociopath who keeps his grieving wife locked in the attic and tries to gaslight poor, plain, abused Jane Eyre then marry her bigamously.”","Lauren Groff, author most recently of the story collection “Florida,” sees Mr. Rochester as a villain: “He’s a sociopath who keeps his grieving wife locked in the attic and tries to gaslight poor, plain, abused Jane Eyre then marry her bigamously....","Lauren Groff, author most recently of the story collection “Florida,” sees Mr. Rochester as a villain: “He’s a sociopath who keeps his grieving wife locked in the attic and tries to gaslight poor, plain, abused Jane Eyre then marry her bigamously.”","The New York Times","2018-05-24T09:00:07+0000","article","Books","News","nyt://article/4c47cbb1-c8ec-553f-8527-318a77ed2049","Book Review","Lauren Groff: By the Book","By the Book",NA,"Lauren Groff",NA,NA,NA
"Favoring bosses over workers is not just bad for economics; it’s also a threat to democracy.","Favoring bosses over workers is not just bad for economics; it’s also a threat to democracy.","Faith in courts runs deep in the American liberal imagination. Remembering Brown v. Board of Education, Roe v. Wade and the recent marriage-equality decisions, we keep hoping that wise and fair-minded judges will protect the vulnerable and lead the country toward justice.","The New York Times","2018-06-28T09:30:03+0000","article","Opinion","Op-Ed","nyt://article/17ced88f-cf35-525f-813d-55e4c71cecf7","Sunday Review","The Roberts Court Protects the Powerful for a New Gilded Age",NA,NA,NA,NA,NA,NA
"Without dedicated funding for conservation, many of New York City’s public memorials and artworks are decaying from neglect.","Without dedicated funding for conservation, many of New York City’s public memorials and artworks are decaying from neglect.","Early into his second term, Mayor Bill de Blasio announced a $10 million initiative, led by his wife, Chirlane McCray, that would break the bronze ceiling by introducing seven new statues of historical women to New York City’s commemorative landscape of mostly men. It was to be one of Mr. de Blasio’s signature marks on the landscape.","The New York Times","2021-12-29T18:24:04+0000","article","Arts","News","nyt://article/ad77c10d-a716-5cff-be66-49aeb0ed8db5","Art & Design","As the Mayor Promised Millions for New Monuments, Old Ones Crumbled",NA,NA,"Monuments to Disrepair",NA,NA,NA
"As illegal hunting thins out the ranks of matriarchs, their daughters are taking over as leaders of their social groups.","As illegal hunting thins out the ranks of matriarchs, their daughters are taking over as leaders of their social groups.","SAMBURU NATIONAL RESERVE, Kenya — The Land Cruiser bumped and rattled over the lush, tawny savanna dotted with acacia trees.","The New York Times","2016-07-04T16:44:23+0000","article","Science","News","nyt://article/7f0986cc-314b-54cb-bf75-50fbd7146190",NA,"Poaching Leaves Elephant Daughters in Charge",NA,NA,"Following in Huge Footsteps",NA,NA,NA
"Experts weigh in on what’s really going on in the labor market — and what companies can do to attract workers.","Experts weigh in on what’s really going on in the labor market — and what companies can do to attract workers.","The DealBook newsletter delves into a single topic or theme every weekend, providing reporting and analysis that offers a better understanding of an important issue in the news. If you don’t already receive the daily newsletter, sign up here.","The New York Times","2021-05-22T12:00:07+0000","article","Business Day","News","nyt://article/beba0ae4-7dc3-5d4b-a489-f2ddb1be1944","DealBook","Why It’s Hard to Hire Right Now","dealbook newsletter",NA,NA,NA,NA,NA
"Daniel Kronauer’s transgenic ants offer scientists the chance to explore the evolution of animal societies — and, perhaps, our own.","Daniel Kronauer’s transgenic ants offer scientists the chance to explore the evolution of animal societies — and, perhaps, our own.","Whether personally or professionally, Daniel Kronauer of Rockefeller University is the sort of biologist who leaves no stone unturned. Passionate about ants and other insects since kindergarten, Dr. Kronauer says he still loves flipping over rocks “just to see what’s crawling around underneath.”","The New York Times","2017-01-23T22:53:22+0000","article","Science","News","nyt://article/244588fc-7580-546c-8d82-ad4e74be3b3a",NA,"Gene-Modified Ants Shed Light on How Societies Are Organized","Basics",NA,"Colony of Clues",NA,NA,NA
