"abstract","snippet","lead_paragraph","source","pub_date","document_type","section_name","type_of_material","_id","subsection_name","headline.main","headline.kicker","headline.content_kicker","headline.print_headline","headline.name","headline.seo","headline.sub","slideshow_credits"
"A California-based home care company is pondering three choices in meeting new state and federal work rules regarding its caregivers.","A California-based home care company is pondering three choices in meeting new state and federal work rules regarding its caregivers.","SELECT HOME CARE, based in Westlake Village, Calif., offers 24-hour nonmedical care to elderly clients in California, Nevada, Utah, Colorado, Oregon and Texas. It has nine offices, 500 employees and more than $10 million in annual revenue.","The New York Times","2014-06-18T17:24:35+0000","article","Business Day","News","nyt://article/c61357bd-1a60-59cd-8777-46089ec57b9c","Entrepreneurship","Select Home Care Weighs New Wage and Labor Regulations","Case Study",NA,"A Home Care Company Weighs New Wage and Labor Regulations",NA,NA,NA,NA
"Officials said they would introduce legislation this week to increase oversight of programs that have taken advantage of Medicaid payments by luring relatively healthy clients.","Officials said they would introduce legislation this week to increase oversight of programs that have taken advantage of Medicaid payments by luring relatively healthy clients.","New York City officials said on Thursday that they would introduce legislation to crack down on Medicaid-supported senior day care centers that lure relatively healthy clients with enticements like free takeout food and even cash.","The New York Times","2013-06-07T01:24:25+0000","article","New York","News","nyt://article/04578411-ae09-57cd-8011-95dbee79d967",NA,"Council Bill Would Crack Down on Proliferation of Adult Day Care Centers",NA,NA,"Council Bill Would Crack Down on Proliferation of Adult Day Care Centers",NA,NA,NA,NA
"Amid a rising tide of older adults, there are fewer specialists to treat them. Most residents would rather do something else.","Amid a rising tide of older adults, there are fewer specialists to treat them. Most residents would rather do something else.","PORTLAND, Ore. — Ruth Miles, 83, sat in a wheelchair in a small exam room, clutching a water bottle, looking frightened and uncomfortable.","The New York Times","2016-01-25T22:08:37+0000","article","Health","News","nyt://article/93c99d31-82c9-5962-aefe-1df543049bf8",NA,"As Population Ages, Where Are the Geriatricians?",NA,NA,"A Hole in Health Care",NA,NA,NA,NA
"A few adult children have found that the simplest arrangement can be found in an apartment at the same retirement community.","A few adult children have found that the simplest arrangement can be found in an apartment at the same retirement community.","First thing in the morning, Allen Geiwitz goes to check on his mother, Hilda, who prefers to sleep in. He sets the breakfast cereal on the kitchen table, along with her pills. A little later, once she’s up, he goes back to fix her coffee.","The New York Times","2016-01-04T11:00:16+0000","article","Health","News","nyt://article/ef74dbc3-9109-5bf9-8220-e5756c7f8c5f",NA,"A Twist on Caring for a Parent: Move Into the Home"," The New Old Age",NA,"A Move Into Mom’s Building",NA,NA,NA,NA
"A short documentary explores the tender relationship between a caretaker who is an undocumented immigrant and an elderly woman in the last months of her life.","A short documentary explores the tender relationship between a caretaker who is an undocumented immigrant and an elderly woman in the last months of her life.","A short documentary explores the tender relationship between a caretaker who is an undocumented immigrant and an elderly woman in the last months of her life.","The New York Times","2013-06-25T01:11:55+0000","multimedia","Opinion","Video","nyt://video/0ecc19ea-ce94-5807-8f76-a88a7d9ca3a2",NA,"The Caretaker",NA,NA,NA,NA,NA,NA,NA
"Adult children who have overseen their parents’ care say that besides physical and emotional strains, there are financial effects that can include a loss of job mobility.","Adult children who have overseen their parents’ care say that besides physical and emotional strains, there are financial effects that can include a loss of job mobility.","THROUGH the 1990s, Patrick Quirke’s career was sailing along. Every few years, he would be promoted at the transportation company where he worked and move to another city. He said he had every reason to believe that he would be promoted to the company’s headquarters in a few more moves. Then, his parents’ health started to decline. ","The New York Times","2013-11-19T18:56:52+0000","article","Your Money","News","nyt://article/f0f5ea67-9b57-5c79-9b7c-9bd0884fbcb2",NA,"Caring for Aging Parents, Even From a Distance",NA,NA,"Caring for Aging Parents, Even From a Distance",NA,NA,NA,NA
"Even if the premium goes up, it may be worthwhile to keep a current policy, some specialists say.","Even if the premium goes up, it may be worthwhile to keep a current policy, some specialists say.","Every day, Jesse Slome says, about a half-dozen people contact his office at the American Association for Long-Term Care Insurance, a group for industry professionals, to complain about premium increases on their policies.","The New York Times","2014-03-21T20:11:40+0000","article","Your Money","Question","nyt://article/108f7e4d-c197-55b2-8606-8825d7a81c30",NA,"Premiums Rise for Long-Term Care Insurance. Keep It or Drop It?","Your Money Adviser",NA,"As Premiums Rise, Drop Long-Term Care?",NA,NA,NA,NA
"The Gray Panthers staged rowdy protests against ageism and found common cause with young activists on everything from health care to racial justice. What can they teach us today?","The Gray Panthers staged rowdy protests against ageism and found common cause with young activists on everything from health care to racial justice. What can they teach us today?","By the mid-1970s, she was a national celebrity. She had speaking engagements all over the country; she traveled 100,000 miles annually, giving at least 200 talks a year. She was all over the TV: “The Phil Donahue Show,” the “Today” show and “The Tonight Show” with Johnny Carson, multiple times. Media monikers for her included “ball of fire,” “dynamo” and the now-problematic “feisty.” In 1978, the World Almanac named her one of the 25 most influential women in the United States. Shortly before she died in 1995, ABC News profiled her as its “Person of the Week.”","The New York Times","2020-09-08T09:58:18+0000","article","Opinion","Op-Ed","nyt://article/c1e45fac-520c-52c3-8b86-663ff19e38db","Sunday Review","The Forgotten History of the Radical ‘Elders of the Tribe’",NA,NA," Forgotten History of the Gray Panthers",NA,NA,NA,NA
"Amid a transformation of New York’s long-term-care system to cut costs, the state has been quietly extending invitations to some of the very agencies accused of causing the increases.","Amid a transformation of New York’s long-term-care system to cut costs, the state has been quietly extending invitations to some of the very agencies accused of causing the increases.","Hunting for ways that the incoming governor could close a $2 billion budget deficit late in 2010, New York State officials scrutinized Medicaid spending on home health care, and made some startling discoveries.","The New York Times","2013-06-24T01:44:12+0000","article","New York","News","nyt://article/5044885d-e9ee-5eaf-ae62-a49ab93c81f8",NA,"State Rewards Home Care Firms Once Rebuked",NA,NA,"State Rewards Home Care Firms Once Rebuked ",NA,NA,NA,NA
"Joseph Andrey, 91, wanted to die at home. As is often the case, he died in a hospital instead.","Joseph Andrey, 91, wanted to die at home. As is often the case, he died in a hospital instead.","The Times reports this morning on a case whose details may be all too familiar to readers of this blog: a daughter struggling futilely to obtain medical care for her father, who wished to die in his apartment. Read the full story. ","The New York Times","2014-09-26T13:24:11+0000","article","Health","News","nyt://article/bad4a4cd-a394-56c2-a8af-4cf9ad718272",NA,"An End-of-Life Nightmare","The New Old Age",NA,NA,NA,NA,NA,NA
"Some patients avoid this specialty, which provides relief from pain and discomfort, because they mistake it for end-of-life care.","Some patients avoid this specialty, which provides relief from pain and discomfort, because they mistake it for end-of-life care.","Last year, when an oncologist advised that Betty Chin might benefit from palliative care, her son Kevin balked.","The New York Times","2016-02-12T19:29:39+0000","article","Health","News","nyt://article/99245235-7adf-5959-ba06-c30f0885bf05",NA,"In Palliative Care, Comfort Is the Top Priority"," The New Old Age",NA,"The Discomfort of Confronting Discomfort",NA,NA,NA,NA
"The number of falls is expected to rise among the elderly, The Times reports.","The number of falls is expected to rise among the elderly, The Times reports.","As the population ages, hospitals and retirement communities are bracing for an increase in the number of falls among the elderly, The Times reports. Read the full story. Update: A second story on falls was published in Science Times. ","The New York Times","2014-11-02T16:01:11+0000","article","Health","News","nyt://article/2b392eb4-36b9-56da-8fa3-a5bcecad37d0",NA,"A Rise in Falls","The New Old Age",NA,NA,NA,NA,NA,NA
"Court decisions in California may shed light on how large chains make staffing decisions.","Court decisions in California may shed light on how large chains make staffing decisions.","The letter went out to about 1,900 Californians a few weeks ago from law firms bringing a class-action suit against one of the country’s largest assisted-living chains.","The New York Times","2020-02-14T20:54:33+0000","article","Health","News","nyt://article/556015ab-fc1b-55c5-9ef7-61573f21e31a",NA,"Some Assisted-Living Residents Don’t Get Promised Care, Suit Charges","the new old age",NA,"A Look Behind Closed Doors",NA,NA,NA,NA
"This week, nursing home residents across the U.S became some of the first patients to receive the new coronavirus vaccine.","This week, nursing home residents across the U.S became some of the first patients to receive the new coronavirus vaccine.","This week, nursing home residents across the U.S became some of the first patients to receive the new coronavirus vaccine.","AP","2020-12-17T17:09:53+0000","multimedia","U.S.","Video","nyt://video/80178794-3b6b-53b4-9589-eacbf9073145","Politics","Nursing Home Residents Receive Coronavirus Vaccines",NA,NA,NA,NA,NA,NA,NA
"The best efforts at reform follow the principles of palliative care: focusing on the patient’s comfort and pleasure.","The best efforts at reform follow the principles of palliative care: focusing on the patient’s comfort and pleasure.","Speak the words “dementia” and “nursing home,” and you’ve exposed two great fears among people in developed countries, where living until 80 or 90 is increasingly common. Despite efforts to keep frail elders in their own homes, increasing numbers of people with dementia are likely to spend time in a nursing home. ","The New York Times","2015-04-01T11:00:47+0000","article","Opinion","News","nyt://article/a2ded8d3-a43d-553d-8588-9e25cc384ce1",NA,"Transforming Nursing Home Care","Opinionator",NA,NA,NA,NA,NA,NA
"Former Vice President Joseph R. Biden Jr. laid out a $775 billion investment proposal to assist in caregiving programs, including care for children, older adults and family members with disabilities.","Former Vice President Joseph R. Biden Jr. laid out a $775 billion investment proposal to assist in caregiving programs, including care for children, older adults and family members with disabilities.","Former Vice President Joseph R. Biden Jr. laid out a $775 billion investment proposal to assist in caregiving programs, including care for children, older adults and family members with disabilities.","The New York Times","2020-07-21T19:38:23+0000","multimedia","U.S.","Video","nyt://video/01e37a85-cdaa-5933-82bd-8c0e4cabeea4",NA,"Biden Announces Plan to Aid Caregivers",NA,NA,NA,NA,NA,NA,NA
"Catherine Saint Louis speaks about why daily oral care in nursing facilities is almost universally overlooked, and why that can lead to dangerous complications for residents.","Catherine Saint Louis speaks about why daily oral care in nursing facilities is almost universally overlooked, and why that can lead to dangerous complications for residents.","Catherine Saint Louis speaks about why daily oral care in nursing facilities is almost universally overlooked, and why that can lead to dangerous complications for residents.","The New York Times","2013-08-05T21:44:08+0000","multimedia","Health","Video","nyt://video/a966fdea-df0e-5e0d-95da-f5b78118fe69",NA,"Nursing Homes’ Dental Problems",NA,NA,NA,NA,NA,NA,NA
"Medicare’s rating system for nursing homes is seriously flawed, The Times reports.","Medicare’s rating system for nursing homes is seriously flawed, The Times reports.","Medicare’s ratings of nursing homes are based in large part on self-reported data that the government does not verify, The Times reports. Only one of the three criteria used to determine the star ratings relies on assessments from independent reviewers. Read the full story. ","The New York Times","2014-08-25T16:59:32+0000","article","Health","News","nyt://article/f46d3e87-050e-51d6-8605-cb46707e6027",NA,"Four-Star Disappointments","The New Old Age",NA,NA,NA,NA,NA,NA
"As the Senate prepares to once again take up its health care deliberations, Medicaid is on the chopping block. Will it be able to pay for your care someday?","As the Senate prepares to once again take up its health care deliberations, Medicaid is on the chopping block. Will it be able to pay for your care someday?","DEDHAM, Mass. — A dozen or so years into retirement, Rita Sherman had plenty going for her financially.","The New York Times","2017-07-07T09:00:31+0000","article","Your Money","News","nyt://article/78f6b700-6917-5a81-b9d0-0d68661fb86d",NA,"One Woman’s Slide From Middle Class to Medicaid","Your Money",NA,"Out of Money  In Her 90s, And Needing  Far More Care",NA,NA,NA,NA
"The phenomenon some experts call “aging together” — people in their 60s and 70s, usually women, helping much older relatives — can take a financial toll.","The phenomenon some experts call “aging together” — people in their 60s and 70s, usually women, helping much older relatives — can take a financial toll.","Not many years ago, Lynda Faye planned to spend her retirement gardening in Amherst, Mass., and visiting her eight grandchildren. Not on the list of golden-years pursuits: caring for a frail elderly parent.","The New York Times","2019-06-27T11:00:05+0000","article","Business Day","News","nyt://article/678e387b-9111-51c3-a148-9626362ad439",NA,"At 75, Taking Care of Mom, 99: ‘We Did Not Think She Would Live This Long’","Retiring",NA,"When the Older Care for the Oldest",NA,NA,NA,NA
"Abby Ellin sits down with The Times’s Michael Mason to discuss the increasing number of seniors seeking mental health counseling.","Abby Ellin sits down with The Times’s Michael Mason to discuss the increasing number of seniors seeking mental health counseling.","Abby Ellin sits down with The Times’s Michael Mason to discuss the increasing number of seniors seeking mental health counseling.","The New York Times","2013-04-23T15:03:27+0000","multimedia","Health","Video","nyt://video/f5b22980-9ab5-59a3-96de-b5fabb351519",NA,"Therapy and the Elderly",NA,NA,NA,NA,NA,NA,NA
"The fitness trainer: 44 years old. The client: 90.","The fitness trainer: 44 years old. The client: 90.","Martin Luther King Addo, a 44-year-old bodybuilder who was twice crowned Mr. Ghana, opened a storefront gym in a N.O.R.C. — a naturally occurring retirement community — in Lower Manhattan. His clients, many of them older women, are glad he did. Read the full story, and watch the video, above. ","The New York Times","2014-06-21T16:10:49+0000","article","Health","News","nyt://article/fce90d95-d0d3-5d4d-b564-9ab58f07efe4",NA,"‘You Can Do It, Shirley’","The New Old Age",NA,NA,NA,NA,NA,NA
"Nearly one million immigrants are taking care of elderly patients. Many caregivers may lose their protected status; others may choose to leave an increasingly restrictive country.","Nearly one million immigrants are taking care of elderly patients. Many caregivers may lose their protected status; others may choose to leave an increasingly restrictive country.","In Dallas, a 93-year-old is worried about the woman who, for years, has come to her house four days a week to help with shopping, laundry, housecleaning and driving. “She’s just a wonderful person, someone I feel I can trust completely,” said the older woman.","The New York Times","2018-02-02T15:55:23+0000","article","Health","News","nyt://article/6c9f3056-b13b-54f8-8eab-a0e012bb7689",NA,"If Immigrants Are Pushed Out, Who Will Care for the Elderly?"," The New Old Age",NA,"Who’ll  Help Mom?",NA,NA,NA,NA
"At a news conference on Friday, Gov. Andrew M. Cuomo of New York pushed back on accusations that there had been a purposeful delay in reporting coronavirus deaths in nursing homes across the state.","At a news conference on Friday, Gov. Andrew M. Cuomo of New York pushed back on accusations that there had been a purposeful delay in reporting coronavirus deaths in nursing homes across the state.","At a news conference on Friday, Gov. Andrew M. Cuomo of New York pushed back on accusations that there had been a purposeful delay in reporting coronavirus deaths in nursing homes across the state.","Reuters","2021-02-19T20:45:58+0000","multimedia","U.S.","Video","nyt://video/bebbfbfc-b393-5b26-88db-96636a1cf723","Politics","Cuomo Addresses Nursing Home Investigation",NA,NA,NA,NA,NA,NA,NA
"Medicare officials release data on doctor payments, and an analysis by The Times uncovers a number of surprises.","Medicare officials release data on doctor payments, and an analysis by The Times uncovers a number of surprises.","A small number of doctors, about 2 percent, accounted for nearly a quarter of Medicare spending in 2012, according to a new analysis by The Times. Just one-quarter of the doctors billing Medicare accounted for three-quarters of its payments that year. Read the full story, and search for your doctor’s billings with our online tool.","The New York Times","2014-04-09T13:04:59+0000","article","Health","News","nyt://article/070d073c-5b61-5b96-b3df-f9a150e29126",NA,"What Did Medicare Pay Your Doctor?","The New Old Age",NA,NA,NA,NA,NA,NA
"For the several million older Americans being cared for at home, the coronavirus brings new challenges.","For the several million older Americans being cared for at home, the coronavirus brings new challenges.","In March, Amy Carrier asked one of the two women who provided home care for her mother to stop coming to work.","The New York Times","2020-06-06T09:00:20+0000","article","Health","News","nyt://article/0d9c551b-30ed-500b-835b-71a5b039bae7",NA,"Navigating Home Care During the Pandemic","The New Old Age",NA,"Navigating Home Aid During the Pandemic",NA,NA,NA,NA
"The documentary “Code Black” takes place in the emergency room of Los Angeles County General Hospital.","The documentary “Code Black” takes place in the emergency room of Los Angeles County General Hospital.","Idealism and reality collide in “Code Black,” Dr. Ryan McGarry’s impassioned record of his training in the embattled emergency room of the Los Angeles County General Hospital.","The New York Times","2014-06-20T01:29:40+0000","article","Movies","Review","nyt://article/45bb1037-0872-5e8c-8b12-eb0885f4aafd",NA,"If Health Care Is a War, Here’s the Front Line","Movie Review",NA,"Code Black",NA,NA,NA,NA
"The documentary “Black Heirlooms” dives into the intergenerational conversations about care and assets that one family did not have until too late.","The documentary “Black Heirlooms” dives into the intergenerational conversations about care and assets that one family did not have until too late.","The trailer opens with a picture of an olive green house, then a sunny yellow kitchen. A narrator extols the virtues of the world-famous chicken and dumplings that the family matriarch once made there.","The New York Times","2014-11-28T18:59:08+0000","article","Your Money","News","nyt://article/eb02e8d3-8be9-59c6-b514-99d52eef1b51","Estate Planning","A Respectful Deference to Elders Curdles Into a Fight Over Assets","Your Money",NA,"A Conversation Too Long Delayed",NA,NA,NA,NA
"On average, injury and complaint rates are higher, and staffs smaller, at for-profit facilities that outsource goods and services to their owners’ other businesses.","On average, injury and complaint rates are higher, and staffs smaller, at for-profit facilities that outsource goods and services to their owners’ other businesses.","MEMPHIS — When one of Martha Jane Pierce’s sons peeled back the white sock that had been covering his 82-year-old mother’s right foot for a month, he discovered rotting flesh.","The New York Times","2018-01-02T22:08:52+0000","article","Business Day","News","nyt://article/66775d85-bb25-5bba-af8e-81cb022ab036",NA,"Care Suffers as More Nursing Homes Feed Money Into Corporate Webs",NA,NA,"Care Suffers as Profits Rise",NA,NA,NA,NA
"Almost two million home care workers will now be covered by the Fair Labor Standards Act, but the change will not go into effect until 2015.","Almost two million home care workers will now be covered by the Fair Labor Standards Act, but the change will not go into effect until 2015.","The Obama administration announced on Tuesday that it was extending minimum wage and overtime protections to the nation’s nearly two million home care workers.","The New York Times","2013-09-17T16:37:17+0000","article","Business Day","News","nyt://article/7f0c40fa-3714-5391-bf3f-d1af7bbb9089",NA,"U.S. to Include Home Care Aides in Wage and Overtime Law",NA,NA,"Wage Law Will Cover Home Aides",NA,NA,NA,NA
"Health care in the U.S. relies on an “invisible army” of caregivers — mostly women. For many, stunted careers, lost earnings and exhaustion are part of the fallout.","Health care in the U.S. relies on an “invisible army” of caregivers — mostly women. For many, stunted careers, lost earnings and exhaustion are part of the fallout.","— Kate Washington, the author of “Already Toast: Caregiving and Burnout in America”","The New York Times","2021-03-16T23:58:23+0000","article","U.S.","News","nyt://article/49a3bc68-29c7-5b27-95a0-0d9e3805117a",NA,"The Costly, Painful, Lonely Burden of Care","in her words",NA,NA,NA,NA,NA,NA
"Amazon’s spirit of invention is refreshing, but we need technologists also to think through the consequences.","Amazon’s spirit of invention is refreshing, but we need technologists also to think through the consequences.","This article is part of the On Tech newsletter. Here is a collection of past columns.","The New York Times","2021-09-29T17:00:41+0000","article","Technology","News","nyt://article/9f57a065-c6d5-5346-8a8c-0264e5df9f0f",NA,"Amazon Should Invent With Care","the on tech newsletter",NA,"Amazon Invents First, Asks Questions Later",NA,NA,NA,NA
"Technology can help families monitor the health and safety of older people kept from their families by the coronavirus.","Technology can help families monitor the health and safety of older people kept from their families by the coronavirus.","Norman Potter’s mother, Dorothy, who suffers from a chronic pulmonary illness, lives alone in the mountain town of Newland, N.C., two hours from his home in Winston-Salem. For a year, Mr. Potter had been looking for technology that would enable him to monitor her health from afar.","The New York Times","2020-06-05T09:00:22+0000","article","Business Day","News","nyt://article/ebff0459-bd9d-5de2-899f-fe9d3f407bbb",NA,"Did Mom Take Her Medicine? Keeping Eyes on Elders in Quarantine","retiring",NA,"Did Mom Take Her Medicine Today?",NA,NA,NA,NA
"Premiums have increased sharply, and comparisons are difficult, which helps explain why only 20 percent of those over age 65 own a policy.","Premiums have increased sharply, and comparisons are difficult, which helps explain why only 20 percent of those over age 65 own a policy.","INSURING for long-term care is a lot like trying to cover the future financial impact of climate change. It’s a universal problem that looms large, is hard to predict and will be costly to mitigate.","The New York Times","2015-12-18T14:22:03+0000","article","Your Money","News","nyt://article/d81d2911-1d0b-5b3e-a6a2-1d77b5cfcd79",NA,"Long-Term Care Insurance Can Baffle, With Complex Policies and Costs","Retiring",NA,"The Basics of Long-Term Care Insurance",NA,NA,NA,NA
"President Biden’s social policy legislation aims to address a problem that weighs on many families — and the teachers and child care centers serving them.","President Biden’s social policy legislation aims to address a problem that weighs on many families — and the teachers and child care centers serving them.","GREENSBORO, N.C. — To understand the problems Democrats hope to solve with their supersized plan to make child care better and more affordable, consider this small Southern city where many parents spend more for care than they do for mortgages, yet teachers get paid like fast food workers and centers cannot hire enough staff.","The New York Times","2021-10-09T17:59:12+0000","article","U.S.","News","nyt://article/9cb631dc-b81f-518a-b855-4d48b7469a39","Politics","When Child Care Costs Twice as Much as the Mortgage",NA,NA,"The Child Care Paradox Democrats Aim to Fix",NA,NA,NA,NA
"An idea whose time should come.","An idea whose time should come.","The idea first arose in a Twitter chat about elder care. What we need, someone wrote, is a Peace Corps for caregiving.","The New York Times","2013-03-28T10:00:56+0000","article","Health","News","nyt://article/9394d47f-03b7-5faf-99aa-8c775dc6c905",NA,"A Volunteer Army of Caregivers","The New Old Age",NA,NA,NA,NA,NA,NA
"After-school programs are closed. Day care centers are shut down. Summer camp might not happen. If you’re stuck with money you can’t use, you’ll lose it.","After-school programs are closed. Day care centers are shut down. Summer camp might not happen. If you’re stuck with money you can’t use, you’ll lose it.","You did everything right. You read the email from human resources and signed up for a dependent care account. Your employer siphons pretax money from your paycheck, and you’ll get a little back upon request after paying each day care bill, or in a lump sum after covering summer camp costs.","The New York Times","2020-05-09T09:00:13+0000","article","Your Money","News","nyt://article/ad22b527-2803-5f17-814a-598346b2fd17",NA,"There’s Money Stuck in Your Dependent Care Account. Now What?","Your Money",NA,"Taxes Saved But Funds Are Stuck",NA,NA,NA,NA
"Researchers propose a solution to the scarcity of home aides: hire those who have already done it for family members.","Researchers propose a solution to the scarcity of home aides: hire those who have already done it for family members.","Everyone who thinks about the so-called work force problem for the elderly can see big trouble coming. Who’s going to provide care for the growing number of old people who, even with enormous efforts from family members, will most likely need more help? Or who don’t have families? And who prefer, overwhelmingly, to stay in their homes?","The New York Times","2013-05-31T18:39:06+0000","article","Health","News","nyt://article/baee80f5-a537-5787-b025-7a109364f4f0",NA,"The Family Caregiver Turns Pro","The New Old Age",NA,NA,NA,NA,NA,NA
"Five states now permit what advocates call “death with dignity.”","Five states now permit what advocates call “death with dignity.”","Five states now permit assisted dying, The Times reported on Saturday, and others are considering legislation to do so. Read the full story. ","The New York Times","2014-02-08T13:58:26+0000","article","Health","News","nyt://article/eac477f5-f4fd-524c-a67d-2e4bca065f94",NA,"‘Aid in Dying’ Sentiment Gathers Momentum","The New Old Age",NA,NA,NA,NA,NA,NA
"About half the people killed by the coronavirus in Canada have been residents of nursing homes.","About half the people killed by the coronavirus in Canada have been residents of nursing homes.","Many Canadians, me included, were shocked this week as harrowing details mounted about Montreal’s Résidence Herron nursing home: Medical staff who had abandoned hungry and desperately ill patients. An owner with a long criminal history. Thirty-one dead in less than one month — five from confirmed cases of coronavirus.","The New York Times","2020-04-17T21:45:39+0000","article","World","News","nyt://article/9688e7a2-863d-53b6-a0bd-1c8b71bebe9a","Canada","How Can It Happen Here? The Shocking Deaths in Canada’s Long-Term Care Homes",NA,NA,NA,NA,NA,NA,NA
"Nearly two-thirds of people in nursing homes rely on Medicaid to pay at least some of the bill. And many of them rely on specialists like Estelle Stasz for help.","Nearly two-thirds of people in nursing homes rely on Medicaid to pay at least some of the bill. And many of them rely on specialists like Estelle Stasz for help.","NORTHAMPTON, Mass. — As the health care debate in Washington descended into absurdity this week — with senators not knowing the content of bills they were preparing to amend, and supporting unwritten bills they hoped wouldn’t become law — there were at least two categories of people waiting out the results.","The New York Times","2017-07-28T11:00:45+0000","article","Your Money","News","nyt://article/59005056-2580-5034-9d14-7c41dfd628df","Health Insurance","Riding Out the Senate Debate With a Massachusetts Medicaid Guru","Your Money",NA,"A Medicaid Guru Rides Out the Senate’s Health Care Brawl",NA,NA,NA,NA
"Here is a concern that baby boomers might not have thought of: Their children could be taking care of them while still in their 20s or 30s.","Here is a concern that baby boomers might not have thought of: Their children could be taking care of them while still in their 20s or 30s.","In the summer of 2017, soon after starting a new job, Ariel Brandt Lautman took her two young children to Denver to visit her mother. This wasn’t purely a social call. Her mother’s memory had been deteriorating for several years, and Ms. Brandt Lautman, who lives in Silver Spring, Md., needed to plan for her care.","The New York Times","2019-11-27T10:00:26+0000","article","Business Day","News","nyt://article/ce863dc0-3351-59c0-bebb-1adabcf02a50",NA,"For Millennials Making Their Way, a Detour: To Caregiving","RETIRING",NA,"Busy as Can Be, but Finding Time to Care for Mom",NA,NA,NA,NA
"New York is one of at least 26 states rolling out managed long-term care programs under Medicaid, but the widely praised version in Tennessee has had problems.","New York is one of at least 26 states rolling out managed long-term care programs under Medicaid, but the widely praised version in Tennessee has had problems.","NASHVILLE — Even as public attention is focused on the Affordable Care Act, another health care overhaul is underway in many states: an ambitious effort to restrain the ballooning Medicaid cost of long-term care as people live longer and survive more disabling conditions.","The New York Times","2014-03-07T02:37:26+0000","article","New York","News","nyt://article/5952c1e6-5614-55d5-ae1e-c318e4209151",NA,"Pitfalls Seen in a Turn to Privately Run Long-Term Care",NA,NA,"Pitfalls Seen in a State’s Turn to Privately Run Long-Term Care",NA,NA,NA,NA
"The study highlights the effects that a new federal mandate for all health care workers to be inoculated against Covid may have on vulnerable populations like the elderly in nursing homes, experts say.","The study highlights the effects that a new federal mandate for all health care workers to be inoculated against Covid may have on vulnerable populations like the elderly in nursing homes, experts say.","Nursing home aides — the staff members who provide the most direct care to residents — were the least likely to be fully vaccinated against the coronavirus by mid-July, according to a new analysis of U.S. facilities.","The New York Times","2021-09-16T15:00:07+0000","article","Health","News","nyt://article/d256fc7c-3e18-540b-9f1b-e464a9bc892f",NA,"At U.S. nursing homes, aides were the least likely workers to be vaccinated, a study shows.",NA,NA,"Care Homes Lag in Rate Of Workers Vaccinated",NA,NA,NA,NA
"The federal government has been in charge of a chain of Illinois nursing homes that defaulted on mortgages backed by a government program.","The federal government has been in charge of a chain of Illinois nursing homes that defaulted on mortgages backed by a government program.","A federal housing agency is close to selling a group of nursing homes it took over 18 months ago after the biggest default in the history of a government mortgage insurance program that provides critical support to the nursing home industry.","The New York Times","2020-01-06T19:15:33+0000","article","Business Day","News","nyt://article/abfe3058-ca95-5f1e-880c-e47bc0f7ed33",NA,"New Owner Is Selected After $146 Million Nursing Home Collapse",NA,NA,"New Owner for Nursing Home Group",NA,NA,NA,NA
"That’s the median hourly wage for the workers, mostly minority women, caring for older adults. Not surprisingly, the annual turnover rate is 40 percent to 60 percent.","That’s the median hourly wage for the workers, mostly minority women, caring for older adults. Not surprisingly, the annual turnover rate is 40 percent to 60 percent.","The analysts at P.H.I., a nonprofit research and consulting group, sift through federal data each year to see how the nation’s swelling corps of home care workers is faring.","The New York Times","2016-09-23T19:15:57+0000","article","Health","News","nyt://article/a994d8a9-6630-5f98-b51c-7fe1c2145c78",NA,"Wages for Home Care Aides Lag as Demand Grows"," The New Old Age",NA,"A System That Doesn’t Tend to Home Aides",NA,NA,NA,NA
"In a ceremony tinged with nostalgia and an unspoken sense of farewell, former President George Bush joined President Obama at the White House on Monday to present an award for Mr. Bush’s volunteer initiative.","In a ceremony tinged with nostalgia and an unspoken sense of farewell, former President George Bush joined President Obama at the White House on Monday to present an award for Mr. Bush’s volunteer initiative.","WASHINGTON — In a homecoming tinged with nostalgia and an unspoken sense of farewell, President Obama on Monday welcomed his oldest living predecessor, George Bush, to the White House, where the two men, separated by nearly four decades but united in their fervor for volunteer service, presented an award to a retired Iowa couple.","The New York Times","2013-07-15T19:54:38+0000","article","U.S.","News","nyt://article/2c5ae2e3-f6bf-54b2-bf2b-e5487e505363","Politics","At White House Homecoming, Elder Bush’s ‘Points of Light’ Shine On",NA,NA,"At White House Homecoming, Former President’s ‘Points of Light’ Shine On",NA,NA,NA,NA
"Authorities in South Carolina have removed four men with intellectual disabilities — all former employees of a disgraced company called Henry’s Turkey Service — from a run-down bunkhouse in Newberry.","Authorities in South Carolina have removed four men with intellectual disabilities — all former employees of a disgraced company called Henry’s Turkey Service — from a run-down bunkhouse in Newberry.","Authorities in South Carolina have removed four men with intellectual disabilities — all former employees of a disgraced company called Henry’s Turkey Service — from a run-down bunkhouse in the small city of Newberry, and their treatment is now being investigated by various local, state and federal agencies.","The New York Times","2014-12-20T01:56:35+0000","article","U.S.","News","nyt://article/8e9832dd-fa27-58eb-8eaa-df84356a26a9",NA,"4 Men in Bunkhouse in South Carolina Are Put in Care of Social Services",NA,NA,"4 Men in Bunkhouse Are Put in Care of Social Services",NA,NA,NA,NA
